English,German
weee,weee
climate change,Kimawandel
conservation,Erhaltung
environmentally,Umweltfreundlich
footprint,Fußabdruck
global warming,Erderwärmung
pollutant,Schadstoff
recycled,recycelt
sustainable,nachhaltig
sustainably,nachhaltig
citizens,Bürger
csr,csr
disabilities,Behinderungen
disability,Behinderung
disabled,behindert
human,menschlich
nations,Nationen
social,Sozial
un,un
veteran,Veteran
veterans,Veteranen
vulnerable,verletzlich
dignity,Würde
discriminate,diskriminieren
discriminated,diskriminiert
discriminating,diskriminierend
discrimination,Diskriminierung
equality,Gleichstellung
freedom,Freiheit
humanity,Menschheit
nondiscrimination,Nichtdiskriminierung
sexual,sexuell
communities,Gemeinschaften
community,Gemeinschaft
expression,Ausdruck
marriage,Hochzeit
privacy,Privatsphäre
peace,Frieden
bargaining,verhandeln
eeo,eeo
fairness,Gerechtigkeit
fla,fla
harassment,Belästigung
injury,Verletzung
labor,Arbeit
overtime,Im Laufe der Zeit
ruggie,Ruggie
sick,krank
wage,Lohn
wages,Löhne
workplace,Arbeitsplatz
bisexual,bisexuell
diversity,Diversität
ethnic,ethnisch
ethnically,moralisch
ethnicities,Ethnien
ethnicity,Ethnizität
female,weiblich
females,Frauen
gay,schwul
gays,Schwule
gender,Geschlecht
genders,Geschlechter
homosexual,homosexuell
immigration,Einwanderung
lesbian,lesbisch
lesbians,Lesben
Igbt,LGBT
minorities,Minderheiten
minority,Minderheit
ms,MS
race,Rasse
racial,rassisch
religion,Religion
religious,religiös
sex,Sex
transgender,Transgender
woman,Frau
women,Frauen
occupational,beruflich
safe,sicher
safely,sicher
safety,Sicherheit
ilo,ilo
labour,Arbeit
eicc,eicc
children,Kinder
epidemic,Epidemie
health,Gesundheit
healthy,gesund
ill,krank
illness,Erkrankung
pandemic,Pandemie
childbirth,Geburt
drug,Arzneimittel
medicaid,Gesundheitsversorgung
medicare,Gesundheitsvorsorge
medicine,Medizin
medicines,Medikamente
hiv,HIV
alcohol,Alkohol
drinking,Trinken
bugs,Käfer
conformance,Konformität
defects,Mängel
fda,FDA
inspection,Untersuchung
inspections,Untersuchungen
minerals,Mineralien
standardization,Standardisierung
warranty,Garantie
endowment,Stiftung
endowments,Stiftungen
people,Menschen